Player,Pos,FG%,FT%,3P,PS/G▼,TRB,AST,STL,BLK,TOV
Gerald Green,SG,0.392,0.783,1.2,8.9,2.4,0.8,0.6,0.3,0.7
Austin Rivers,SG,0.438,0.681,0.9,8.9,1.9,1.5,0.7,0.1,0.9
Rodney Stuckey,PG,0.413,0.829,0.3,8.9,2.7,2.4,0.7,0.1,1.3
Jordan Hill,C,0.506,0.712,0,8.8,6.2,1.2,0.5,0.5,1.3
Jeremy Lamb,SG,0.451,0.727,0.8,8.8,3.8,1.2,0.6,0.5,0.8
Toney Douglas,PG,0.411,0.848,1.3,8.7,2.3,2.6,1.1,0.1,1
Gerald Henderson,SG,0.439,0.767,0.7,8.7,2.9,1,0.5,0.3,0.9
Tyler Johnson,SG,0.486,0.797,0.8,8.7,3,2.2,0.7,0.4,1.3
Terrence Jones,PF,0.452,0.664,0.5,8.7,4.2,0.8,0.5,0.8,1
Luis Scola,PF,0.45,0.726,0.9,8.7,4.7,0.9,0.6,0.4,0.9
Cody Zeller,C,0.529,0.754,0,8.7,6.2,1,0.8,0.9,0.9
Tim Duncan,C,0.488,0.702,0,8.6,7.3,2.7,0.8,1.3,1.5
Taj Gibson,PF,0.526,0.692,0,8.6,6.9,1.5,0.6,1.1,1.1
Shelvin Mack,PG,0.439,0.738,0.8,8.6,2.5,3.6,0.7,0.1,1.8
Zaza Pachulia,C,0.466,0.768,0,8.6,9.4,1.7,0.8,0.3,1.6
Cory Joseph,SG,0.439,0.764,0.4,8.5,2.6,3.1,0.8,0.3,1.3
Jon Leuer,PF,0.481,0.762,0.6,8.5,5.6,1.1,0.6,0.4,1.1
Patrick Mills,PG,0.425,0.81,1.5,8.5,2,2.8,0.7,0.1,0.9
Nik Stauskas,SG,0.385,0.771,1.5,8.5,2.5,1.9,0.6,0.3,1.3
Tony Allen,SG,0.458,0.652,0.2,8.4,4.6,1.1,1.7,0.3,1.2
Meyers Leonard,PF,0.448,0.761,1.4,8.4,5.1,1.5,0.1,0.3,1.3
Tony Wroten,PG,0.338,0.541,0.4,8.4,2.6,2.5,0.4,0,3.6
Lance Stephenson,SF,0.481,0.784,0.4,8.3,3.2,1.9,0.6,0.1,1.4
Jusuf Nurkic,C,0.417,0.616,0,8.2,5.5,1.3,0.8,1.4,1.7
Lance Thomas,PF,0.442,0.857,0.7,8.2,2.2,0.9,0.4,0.1,1
Mo Williams,PG,0.437,0.905,0.9,8.2,1.8,2.4,0.3,0.1,1.4
Stanley Johnson,SF,0.375,0.784,0.9,8.1,4.2,1.6,0.8,0.2,1.6
Steven Adams,C,0.613,0.582,0,8,6.7,0.8,0.5,1.1,1.1
P.J. Tucker,SF,0.411,0.746,0.8,8,6.2,2.2,1.3,0.2,1.4
Jared Dudley,PF,0.478,0.735,1.2,7.9,3.5,2.1,0.9,0.2,1
Joffrey Lauvergne,C,0.513,0.899,0.2,7.9,4.9,0.9,0.2,0.3,0.9
David Lee,PF,0.531,0.763,0,7.8,5.5,1.5,0.4,0.5,1.2
O.J. Mayo,SG,0.371,0.775,1.3,7.8,2.6,2.9,1.2,0.2,1.8
Ben McLemore,SG,0.429,0.718,1,7.8,2.2,1.2,0.8,0.1,1.5
Tristan Thompson,PF,0.588,0.616,0,7.8,9,0.8,0.5,0.6,0.7
Wayne Ellington,SG,0.389,0.857,1.3,7.7,2.3,1.1,0.6,0.1,0.6
Jameer Nelson,PG,0.368,0.857,1.1,7.7,2.9,4.9,0.6,0.1,1.7
Jose Calderon,PG,0.459,0.875,1.2,7.6,3.2,4.2,0.9,0.1,1.2
Langston Galloway,PG,0.393,0.754,0.9,7.6,3.5,2.5,0.9,0.3,0.7
Devin Harris,PG,0.447,0.721,0.8,7.6,2.2,1.8,0.9,0.2,1
Darrell Arthur,PF,0.452,0.755,0.6,7.5,4.2,1.4,0.8,0.7,0.9
D.J. Augustin,PG,0.423,0.805,1.1,7.5,1.5,3.2,0.6,0.1,1.4
Matthew Dellavedova,PG,0.405,0.864,1.3,7.5,2.1,4.4,0.6,0.1,1.5
Frank Kaminsky,C,0.41,0.73,0.8,7.5,4.1,1.2,0.5,0.5,0.7
E'Twaun Moore,SG,0.481,0.629,0.8,7.5,2.3,1.7,0.6,0.3,0.9
JaMychal Green,PF,0.465,0.752,0.2,7.4,4.8,0.9,0.6,0.4,1.1
Amir Johnson,PF,0.585,0.57,0.1,7.3,6.4,1.7,0.7,1.1,1.2
Shane Larkin,PG,0.442,0.776,0.5,7.3,2.3,4.4,1.2,0.2,1.9
Jodie Meeks,SG,0.35,1,1.3,7.3,1.7,1,0,0,0.3
Garrett Temple,SF,0.398,0.728,1.1,7.3,2.7,1.8,0.9,0.2,0.8
Nick Young,SG,0.339,0.829,1.4,7.3,1.8,0.6,0.4,0.1,0.6
Brandon Bass,PF,0.549,0.845,0,7.2,4.3,1.1,0.5,0.8,0.6
Corey Brewer,SF,0.384,0.75,0.7,7.2,2.4,1.3,1,0.2,1
Tyson Chandler,C,0.583,0.62,0,7.2,8.7,1,0.5,0.7,1.4
Mike Dunleavy,SF,0.41,0.784,1.3,7.2,2.7,1.3,0.5,0.3,0.8
James Ennis,SF,0.478,0.735,1.2,7.2,1.9,1,0.7,0.2,0.9
Danny Green,SG,0.376,0.739,1.5,7.2,3.8,1.8,1,0.8,0.9
Jason Smith,C,0.485,0.806,0.1,7.2,2.9,0.8,0.4,0.9,0.8
Aaron Brooks,PG,0.401,0.766,1,7.1,1.5,2.6,0.4,0.1,1.2
Marreese Speights,C,0.432,0.825,0.3,7.1,3.3,0.8,0.3,0.5,0.9
David West,PF,0.545,0.788,0,7.1,4,1.8,0.6,0.7,0.9
Luke Babbitt,SF,0.422,0.78,0.9,7,3.1,1.1,0.2,0.1,0.5
Clint Capela,C,0.582,0.379,0,7,6.4,0.6,0.8,1.2,0.8
Willie Cauley-Stein,C,0.563,0.648,0,7,5.3,0.6,0.7,1,0.7
Festus Ezeli,C,0.548,0.53,0,7,5.6,0.7,0.4,1.1,0.8
John Henson,C,0.564,0.59,0,7,3.9,0.9,0.3,1.9,1.1
Andre Iguodala,SF,0.478,0.614,0.8,7,4,3.4,1.1,0.3,1.2
Bobby Portis,PF,0.427,0.727,0.3,7,5.4,0.8,0.4,0.4,0.9
Donald Sloan,PG,0.44,0.75,0.6,7,2.8,4.4,0.5,0.1,1.3
Brandon Jennings,PG,0.368,0.731,1.1,6.9,2,3.5,0.6,0.1,1.2
Wesley Johnson,SF,0.404,0.652,1.3,6.9,3.1,0.6,1.1,0.7,0.7
Andrew Nicholson,PF,0.471,0.785,0.7,6.9,3.6,0.4,0.2,0.4,0.7
Patrick Patterson,PF,0.414,0.853,1.3,6.9,4.3,1.2,0.7,0.4,0.8
Brandan Wright,PF,0.673,0.542,0,6.9,3.6,0.5,0.4,1.3,0.8
Seth Curry,PG,0.455,0.833,1.1,6.8,1.4,1.5,0.5,0.1,0.8
Kosta Koufos,C,0.532,0.548,0,6.8,5.4,0.4,0.5,0.9,0.6
Andrea Bargnani,C,0.455,0.825,0.1,6.6,2.1,0.4,0.1,0.2,0.6
Vince Carter,SG,0.388,0.833,1,6.6,2.4,0.9,0.6,0.3,0.6
Josh Richardson,SG,0.452,0.667,1,6.6,2.1,1.4,0.7,0.5,0.7
Ed Davis,PF,0.611,0.559,0,6.5,7.4,1.1,0.7,0.9,0.8
Kris Humphries,PF,0.41,0.798,0.6,6.5,4.1,0.7,0.3,0.4,0.7
Henry Sims,C,0.429,0.833,0,6.5,5.1,0.6,0.6,1,0.9
Leandro Barbosa,SG,0.462,0.839,0.6,6.4,1.7,1.2,0.6,0.1,0.8
Boris Diaw,PF,0.527,0.737,0.3,6.4,3.1,2.3,0.3,0.3,1.3
Tim Hardaway,SG,0.43,0.893,0.9,6.4,1.7,1,0.4,0.1,0.5
Maurice Harkless,SF,0.474,0.622,0.5,6.4,3.6,0.9,0.6,0.4,0.8
Thabo Sefolosha,SF,0.505,0.626,0.6,6.4,4.5,1.4,1.1,0.5,0.9
Justise Winslow,SF,0.422,0.684,0.4,6.4,5.2,1.5,0.9,0.3,1.2
Aron Baynes,C,0.505,0.764,0,6.3,4.7,0.6,0.3,0.6,0.8
Shaun Livingston,PG,0.536,0.86,0,6.3,2.2,3,0.7,0.3,1
Timofey Mozgov,C,0.565,0.716,0,6.3,4.4,0.4,0.3,0.8,0.9
P.J. Hairston,SF,0.355,0.781,1.1,6.2,2.6,0.6,0.5,0.2,0.6
Donatas Motiejunas,PF,0.439,0.642,0.4,6.2,2.9,1.1,0.5,0.1,1.2
Mike Scott,PF,0.468,0.794,0.8,6.2,2.7,1,0.3,0.2,0.6
Dante Cunningham,SF,0.451,0.695,0.7,6.1,3,1,0.5,0.4,0.5
Channing Frye,PF-C,0.438,0.857,1.3,6.1,3.3,1,0.4,0.4,0.6
Mario Hezonja,SF,0.433,0.907,0.8,6.1,2.2,1.4,0.5,0.2,1.2
Trey Lyles,PF,0.438,0.695,0.6,6.1,3.7,0.7,0.3,0.2,0.8
